,ASV_1,ASV_2,ASV_3,ASV_4,ASV_5,ASV_6,ASV_7,ASV_9,ASV_10,ASV_11,ASV_12,ASV_13,ASV_15,ASV_16,ASV_18,ASV_20,ASV_21,ASV_22,ASV_23,ASV_24,ASV_27,ASV_29,ASV_30,ASV_31,ASV_32,ASV_34,ASV_35,ASV_36,ASV_37,ASV_39,ASV_40,ASV_41,ASV_44,ASV_45,ASV_47,ASV_48,ASV_49,ASV_50,ASV_51,ASV_55,ASV_56,ASV_57,ASV_60,ASV_61,ASV_62,ASV_63,ASV_64,ASV_66,ASV_67,ASV_69,ASV_73,ASV_74,ASV_75,ASV_76,ASV_79,ASV_80,ASV_81,ASV_84,ASV_86,ASV_87,ASV_88,ASV_91,ASV_92,ASV_93,ASV_96,ASV_97,ASV_99,ASV_102,ASV_105,ASV_106,ASV_108,ASV_109,ASV_116,ASV_119,ASV_121,ASV_123,ASV_124,ASV_128,ASV_129,ASV_130,ASV_133,ASV_135,ASV_138,ASV_139,ASV_141,ASV_142,ASV_143,ASV_144,ASV_147,ASV_150,ASV_158,ASV_160,ASV_165,ASV_166,ASV_167,ASV_169,ASV_171,ASV_172,ASV_177,ASV_179,ASV_186,ASV_187,ASV_189,ASV_190,ASV_192,ASV_194,ASV_195,ASV_196,ASV_208,ASV_209,ASV_210,ASV_211,ASV_215,ASV_216,ASV_217,ASV_223,ASV_239,ASV_253,ASV_261,ASV_268,ASV_269,ASV_282,ASV_287,ASV_290,ASV_294,ASV_295,ASV_302,ASV_327,ASV_328,ASV_366,ASV_371,ASV_379,ASV_408,ASV_460
group_B__JAMOL02_dietRestricted_pig_14_mother_51_day_49,0.08226267597987767,0.00810683652419384,0.0011219282689732546,0.09348195866961022,0.005030581593138142,0.004994390358655134,0.0027867250551916324,0.011725959972494662,0.03984654916579204,0.0014114581448373205,0.001990517896565452,0.012739314538018891,0.09619630125583584,0.005826788751764323,0.010784987875936448,0.010459266765589375,0.0,0.00405341826209692,0.0,0.0014114581448373205,0.0036191234483008215,0.0038000796207158624,0.005573450110383265,0.0037638883862328542,0.023234772538091274,0.003003872462089682,0.0015562230827693532,0.0,0.0,0.016141290579421663,0.007455394303499692,0.0,0.0032934023379537474,0.001339075675871304,0.004958199124172126,0.0012305019724222794,0.02374144982085339,0.0045239043103760266,0.009156382324201079,0.0,0.004596286779342043,0.0029314899931236656,0.0,0.005971553689696356,0.0,0.00890304368282002,0.005537258875900257,0.0,0.004415330606927002,0.0,0.0013028844413882957,0.0018095617241504108,0.0014476493793203287,0.00101335456552423,0.006984908255220586,0.001375266910354312,0.005790597517281315,0.0,0.0,0.0,0.0,0.0,0.010857370344902464,0.0036191234483008215,0.0,0.0035829322138178133,0.00202670913104846,0.002207665303463501,0.0015924143172523614,0.002316239006912526,0.005645832579349282,0.003184828634504723,0.0017371792551843944,0.0,0.0,0.0011943107379392712,0.0011219282689732546,0.0,0.002243856537946509,0.0,0.0,0.0,0.0019181354275994353,0.0,0.002207665303463501,0.0,0.001158119503456263,0.0,0.0014476493793203287,0.005139155296587167,0.002352430241395534,0.0,0.0,0.014838406138033368,0.0,0.0,0.002859107524157649,0.0,0.0022800477724295174,0.0015924143172523614,0.0,0.0,0.0,0.0015924143172523614,0.004632478013825052,0.0011219282689732546,0.005139155296587167,0.002497195179327567,0.001990517896565452,0.0,0.0029314899931236656,0.004704860482791068,0.002678151351742608,0.0,0.00466866924830806,0.0,0.0011219282689732546,0.0,0.006188701096594405,0.00304006369657269,0.0,0.0,0.0,0.0,0.0,0.0014476493793203287,0.0,0.001158119503456263,0.0,0.00506677282762115,0.003329593572436756,0.0,0.0,0.0017371792551843944
group_B__JAMOL02_dietRestricted_pig_15_mother_51_day_49,0.013001998142571695,0.09312470098218557,0.01325528382067374,0.005881856302591957,0.004193285115244983,0.0011819998311428813,0.01944671150761264,0.016519854782877888,0.003968142290265387,0.013198998114428841,0.001969999718571469,0.009540427208510399,0.010919427011510427,0.0251597106914699,0.0251597106914699,0.008639855908592012,0.008105141699265472,0.014324712239326822,0.004699856471449076,0.0,0.004671713618326626,0.0011819998311428813,0.001519714068612276,0.0045872850589592775,0.005881856302591957,0.0,0.0,0.016182140545408494,0.0,0.012439141080122703,0.004699856471449076,0.0012664283905102298,0.009090141558551207,0.004502856499591929,0.0,0.0013789998030000281,0.005853713449469508,0.0015478569217347255,0.01899642585765345,0.0,0.016885711873469732,0.001069428418653083,0.010919427011510427,0.0,0.0011257141248979822,0.003574142346551093,0.003405285227816396,0.01705456899220443,0.0,0.005290856387020516,0.0012382855373877803,0.005797427743224608,0.002645428193510258,0.0023639996622857626,0.0,0.012889426730081895,0.0014915712154898264,0.0033208566684490475,0.00188557115920412,0.001322714096755129,0.0015478569217347255,0.003461570934061295,0.003517856640306194,0.02006585427630653,0.011651141192694116,0.001969999718571469,0.0017729997467143218,0.0,0.002279571102918414,0.0036867137590408917,0.0012945712436326796,0.005994427715081755,0.005825570596347058,0.0023077139560408635,0.0017167140404694228,0.0,0.0011538569780204318,0.0,0.0,0.0,0.004924999296428672,0.0015478569217347255,0.005769284890102158,0.008133284552387921,0.0,0.0,0.0012382855373877803,0.0,0.0023639996622857626,0.0,0.004277713674612332,0.0,0.008048855993020573,0.0,0.0037992851715306897,0.0029549995778572033,0.0,0.0016041426279796245,0.002589142487265359,0.010243998536571637,0.0014915712154898264,0.018602425913939156,0.0028705710184898543,0.002392142515408212,0.0,0.0,0.0,0.0012664283905102298,0.0033771423746939465,0.0,0.0,0.0,0.0017167140404694228,0.0015478569217347255,0.00444657079334703,0.0,0.0,0.008639855908592012,0.004165142262122534,0.0,0.0016041426279796245,0.00250471392789801,0.005741142036979709,0.0031801424028367995,0.0,0.02273942532293924,0.006641713336898095,0.003714856612163341,0.0,0.0,0.005318999240142966,0.0013789998030000281,0.0011257141248979822,0.013086426701939043
group_B__JAMOL02_dietRestricted_pig_16_mother_51_day_49,0.017784771603746974,0.0041270171167292645,0.006175680289781921,0.0014548477605736258,0.0018408277786849958,0.0,0.0010985585130862071,0.010035480470895622,0.00509196716200769,0.0015142293018215287,0.00182598239337302,0.0037410370986178947,0.027300663588723444,0.0013360846780778196,0.0,0.0024494885764760025,0.0071703211056842985,0.00470598714389632,0.0020486631730526565,0.0,0.0,0.0019892816318047533,0.0017369100815011653,0.005596710262614866,0.1210195810632265,0.003458974777690355,0.0,0.0,0.0012767031368299164,0.0,0.0,0.0032956755392586213,0.0,0.002271343952732293,0.0,0.0025088701177239056,0.002004127017116729,0.002746396282715518,0.002286189338044269,0.0,0.004483306364216683,0.003132376300826888,0.005240421015127447,0.00768990959160345,0.0,0.0,0.0023010347233562447,0.0,0.0,0.0015290746871335045,0.0,0.003176912456762815,0.0021674262555484627,0.0,0.0038746455664256767,0.0,0.0,0.0,0.0,0.0,0.0013212392927658438,0.0024494885764760025,0.001306393907453868,0.00432000712578495,0.0,0.001766600852125117,0.0,0.0013360846780778196,0.0,0.0020635085583646322,0.0017814462374370927,0.001306393907453868,0.0,0.0,0.002479179347099954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009337747361232761,0.0,0.0,0.0,0.0,0.0014251569899496742,0.0014103116046376984,0.0,0.0,0.0,0.0,0.0038152640251777736,0.0012173215955820133,0.0,0.0,0.0,0.00144000237526165,0.0016033016136933833,0.0039043363370496282,0.0,0.00182598239337302,0.0,0.0,0.0,0.0,0.001306393907453868,0.0,0.005225575629815472,0.0,0.0,0.0,0.0024494885764760025,0.0012321669808939891,0.0,0.0,0.002286189338044269,0.0,0.0,0.0,0.0,0.0012173215955820133,0.0,0.0,0.0016775285402532622,0.0017814462374370927,0.0,0.0034144386217544276,0.0,0.0,0.0025237155030358813,0.0,0.0017369100815011653
group_B__JAMOL02_dietRestricted_pig_17_mother_51_day_49,0.03814632053207466,0.216777515554602,0.007981119931345204,0.0015876421368804978,0.0054923836086676675,0.0038189229779017377,0.019738253593649432,0.017807337481227203,0.014460416219695344,0.013087320317528427,0.0,0.003947650718729886,0.004162196953443467,0.008024029178287921,0.017893155975112637,0.0,0.0,0.0,0.0015876421368804978,0.0,0.0,0.003389830508474576,0.00334692126153186,0.013301866552242008,0.004677107916756061,0.0026174640635056854,0.0,0.01295859257670028,0.0,0.02969319888435958,0.006221840806693842,0.004376743188157048,0.0028749195451619825,0.006951298004720017,0.00480583565758421,0.004076378459558035,0.0051062003861832225,0.004720017163698777,0.002402917828792105,0.005664020596438533,0.001973825359364943,0.0029178287921046986,0.002274190087963956,0.010727311735679038,0.0028320102982192664,0.001973825359364943,0.0059643853250375455,0.04359579489379961,0.0,0.0026174640635056854,0.0036901952370735893,0.0,0.0015018236429950654,0.0027891010512765503,0.004548380175927912,0.0059643853250375455,0.007509118214975327,0.0010298219266251878,0.005664020596438533,0.0010298219266251878,0.0,0.0014589143960523493,0.003990559965672602,0.006264750053636559,0.0,0.00334692126153186,0.003990559965672602,0.001930916112422227,0.0028320102982192664,0.004162196953443467,0.003003647285990131,0.00446256168204248,0.0029607380390474147,0.0,0.0,0.005749839090323965,0.0012443681613387686,0.004548380175927912,0.0,0.002016734606307659,0.001930916112422227,0.0015018236429950654,0.0,0.0,0.0,0.0013730959021669169,0.0027032825573911176,0.0039047414717871703,0.0,0.006608024029178288,0.0029178287921046986,0.0,0.0,0.0,0.0,0.0,0.0,0.0015018236429950654,0.0,0.003089465779875563,0.0,0.0028320102982192664,0.0,0.0,0.004376743188157048,0.001630551383823214,0.0013301866552242008,0.0,0.0018450976185367947,0.002145462347135808,0.0,0.0,0.0015018236429950654,0.0,0.0,0.0,0.0026174640635056854,0.0,0.0,0.0013301866552242008,0.002402917828792105,0.0,0.0,0.0,0.0015447328899377815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_B__JAMOL02_dietRestricted_pig_18_mother_51_day_49,0.04967214587263092,0.10389532620737148,0.0,0.006706787628372107,0.0047306805592981825,0.008982304859426929,0.04841462319231115,0.01003024042636007,0.00889248181083266,0.0,0.006287613401598851,0.0011078175993293213,0.07425372017126261,0.014042336596904098,0.00889248181083266,0.0,0.0028443965388185275,0.0,0.001526991826102578,0.0014371687775083086,0.0,0.003173747716997515,0.01272493188418815,0.004131860235336388,0.003682744992365041,0.0025749273930357197,0.04452229108655948,0.0035629809275726817,0.006437318482589299,0.002634809425431899,0.0014671097937063984,0.004760621575496273,0.005209736818467619,0.006437318482589299,0.0,0.004311506332524926,0.003682744992365041,0.0024551633282433607,0.003952214138147849,0.014431569807479266,0.007066079822749184,0.01775502260546723,0.004580975478307734,0.0023653402796490913,0.001646755890894937,0.0,0.0,0.0,0.0016168148746968471,0.00377256804095931,0.012545285786999611,0.003652803976166951,0.0010778765831312314,0.0012874636965178599,0.0012874636965178599,0.0035030988951765024,0.0031438067007994253,0.0036228629599688615,0.013203988143357586,0.0,0.0028443965388185275,0.002275517231054822,0.014072277613102188,0.002275517231054822,0.001766519955687296,0.0,0.0018264019880834756,0.003113865684601335,0.003113865684601335,0.0026946914578280788,0.006407377466391209,0.002395281295847181,0.0026048684092338094,0.0,0.0012275816641216803,0.0,0.00251504536063954,0.0015569328423006676,0.0026946914578280788,0.002065930117668194,0.0011078175993293213,0.0,0.008263720470672776,0.004970208688882901,0.005479205964250427,0.0037426270247612205,0.0,0.0044911524297134645,0.0030240426360070662,0.001137758615527411,0.0,0.004371388364921106,0.0011078175993293213,0.0025749273930357197,0.002185694182460553,0.00125752268031977,0.0,0.0,0.003533039911374592,0.0,0.004670798526902003,0.0,0.002065930117668194,0.001526991826102578,0.0,0.0011976406479235905,0.0,0.0,0.0019761070690739245,0.0011078175993293213,0.0014671097937063984,0.006706787628372107,0.006437318482589299,0.0,0.0,0.0,0.0015868738584987575,0.0026946914578280788,0.0,0.0011078175993293213,0.0,0.0,0.0,0.004640857510703913,0.0013174047127159495,0.0010778765831312314,0.0,0.0,0.0013473457289140394,0.0023353992634510016,0.0019461660528758346,0.002065930117668194,0.0017964609718853857,0.0
group_B__JAMOL02_dietRestricted_pig_19_mother_51_day_49,0.06296037838256958,0.23235377736424492,0.006719909022770153,0.0021968933343671656,0.012897056162931948,0.005117469178878809,0.05820475045876302,0.003411646119252539,0.031661109818820914,0.003954408001860898,0.004471324080535525,0.008063890827324184,0.013646584477010157,0.026078416169134942,0.012431831692124784,0.0075986663565170195,0.0019642810989635834,0.0,0.0,0.0,0.0013956734124214933,0.01028662996562508,0.0011889069809516426,0.00266211780517433,0.0021193559225659714,0.009976480318420305,0.0,0.0011372153730841799,0.0,0.01845390400868419,0.006228838748029257,0.0015507482360238814,0.0,0.006694063218836422,0.0,0.003928562197927167,0.0,0.0025587345894394044,0.0029981132563128374,0.0,0.0,0.0,0.0011630611770179111,0.0,0.0,0.0,0.0061771471401617945,0.0014732108242226875,0.0,0.0038510247861259722,0.0,0.0,0.009304489416143289,0.0,0.0,0.014499496006823293,0.0019901269028973147,0.0027655010209092553,0.0035667209428549276,0.004161174433330749,0.0,0.0017575146674937323,0.0,0.0018608978832286578,0.0,0.0,0.0017575146674937323,0.0,0.002377813961903285,0.0017833604714274638,0.0037217957664573155,0.0015507482360238814,0.003670104158589853,0.003463337727120002,0.0,0.001576594039957613,0.0,0.015223178516967771,0.001731668863560001,0.001447365020288956,0.008038045023390453,0.002894730040577912,0.0,0.0,0.0010855237652167172,0.0012147527848853739,0.0012147527848853739,0.0,0.0014732108242226875,0.0,0.0021452017264997026,0.0,0.0027913468248429866,0.0,0.0015507482360238814,0.0,0.0,0.0014215192163552247,0.0,0.0011889069809516426,0.0,0.0,0.0035150293349874647,0.0,0.003023959060246569,0.0011113695691504484,0.004600553100204182,0.0045488614923367195,0.0,0.00323072549171642,0.0,0.0,0.003153188079915226,0.0065131425913003025,0.0,0.0,0.006151301336228063,0.0,0.0071592876896435865,0.0,0.0035408751389211963,0.0,0.0,0.0,0.0,0.0010855237652167172,0.0,0.001809206275361195,0.0012664443927528366,0.0016024398438913442,0.007081750277842393,0.0,0.0013181360006202993,0.0011113695691504484
group_B__JAMOL02_dietRestricted_pig_20_mother_51_day_49,0.10306026766686557,0.0886824084334953,0.0053988008979058335,0.0,0.01389480862671554,0.004461114426164294,0.03242122012900293,0.011166993436194698,0.02031654022106669,0.0,0.014804080356889154,0.00966101213309465,0.004915750291251101,0.006847952717870031,0.010683942829539965,0.0112806524024664,0.0,0.0,0.001165004404284943,0.002500497257977439,0.0,0.0,0.007586735998636092,0.0058534367629926405,0.0,0.0037223311453982327,0.004660017617139772,0.010115647998181456,0.0,0.00966101213309465,0.009689426874662574,0.0036086721791265307,0.004176967010485039,0.005285141931634132,0.0,0.0,0.0017048844940755264,0.0051714829653624304,0.00161964026937175,0.0,0.002074276134458557,0.0,0.004120137527349189,0.005768192538288864,0.0,0.016736282783508083,0.001108174921149092,0.0,0.0013923223368283466,0.0,0.012417242065183418,0.0031256215724717986,0.0019606171681868555,0.0,0.002074276134458557,0.010172477481317308,0.0,0.0,0.003693916403830307,0.0,0.018355923052879836,0.002045861392890632,0.011337481885602251,0.021339470917512007,0.0,0.013099195862813627,0.0,0.0015912255278038247,0.0016480550109396754,0.004461114426164294,0.0015343960446679737,0.0029267183814963202,0.0035234279544227544,0.0011365896627170177,0.0019606171681868555,0.002074276134458557,0.0,0.001165004404284943,0.0021026908760264826,0.0,0.0,0.0036086721791265307,0.0049441650328190265,0.0,0.0020174466513227063,0.0,0.0,0.0,0.0,0.0,0.014662006649049528,0.0,0.0020174466513227063,0.0,0.0,0.0026141562242491404,0.0,0.0,0.0,0.006450146335919075,0.004375870201460518,0.0013070781121245702,0.0,0.0,0.004631602875571847,0.0,0.0,0.0022731793254340354,0.004574773392435996,0.0019037876850510045,0.0,0.004347455459892592,0.006819537976302106,0.002131105617594408,0.002131105617594408,0.0033245247634472765,0.0016480550109396754,0.0067911232347341805,0.0013070781121245702,0.0,0.0,0.0,0.0031256215724717986,0.005285141931634132,0.002500497257977439,0.005540874605745461,0.0,0.0,0.0,0.003097206830903873,0.0,0.0013923223368283466,0.0011934191458528684,0.005796607279856789
group_B__JAMOL02_dietRestricted_pig_21_mother_51_day_49,0.04064548304360217,0.037653177543459676,0.008798803077799943,0.06048731832430892,0.006198347107438017,0.0013180393274437163,0.022014819036762612,0.06351524650897691,0.0032772869763465374,0.015567113137646053,0.0018523795953263038,0.005557138785978911,0.0050584212026218295,0.033734682245654034,0.001816756910800798,0.00591336563123397,0.007088914220575663,0.007267027643203192,0.0021017383870048445,0.0,0.0,0.0011755485893416929,0.0023154744941578796,0.001816756910800798,0.009475634083784554,0.023867198632088915,0.0,0.0,0.017775719578227416,0.004630948988315759,0.0028854374465659732,0.004132231404958678,0.0012824166429182104,0.0,0.007338273012254203,0.0,0.0016386434881732687,0.0073738956967797096,0.006910800797948134,0.0,0.009475634083784554,0.010758050726702764,0.0014249073810202336,0.02037617554858934,0.005414648047876888,0.0,0.0038828726132801366,0.0,0.0,0.0,0.0032772869763465374,0.0032772869763465374,0.0017098888572242804,0.0,0.013358506697064692,0.027785693929894557,0.0,0.0037760045597036193,0.0,0.0016386434881732687,0.0,0.0,0.0,0.012289826161299516,0.020447420917640353,0.0012111712738671987,0.002956682815616985,0.006982046166999145,0.001567398119122257,0.004417212881162725,0.0,0.006412083214591051,0.0,0.004844685095468795,0.0038828726132801366,0.0,0.0,0.0,0.0,0.0,0.0016030208036477628,0.0,0.005521516101453405,0.003954117982331149,0.0,0.0,0.0,0.0,0.0011043032202906812,0.0,0.0,0.0013180393274437163,0.002671701339412938,0.0030991735537190084,0.0,0.0,0.003419777714448561,0.004524080934739242,0.0,0.0,0.0,0.0012111712738671987,0.0029923055001424906,0.001994870333428327,0.0,0.0,0.0,0.0029923055001424906,0.002279851809632374,0.0,0.0,0.0,0.001816756910800798,0.002849814762040467,0.0,0.0019236249643773155,0.004381590196637219,0.004666571672841265,0.0,0.0027785693929894555,0.0,0.0016742661726987745,0.0,0.0,0.0,0.015816471929324595,0.0,0.0021729837560558562,0.0,0.0,0.0,0.0,0.0,0.0
