,PC1,PC2,PC3,group,individual,edge_color,fill_color,shape
group_A__JAMOL02_fullFed_pig_1_mother_54_day_49,-0.08042701698139493,0.09950198394759684,-0.043518519781681884,group_A,JAMOL02_fullFed_pig_1_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_10_mother_49_day_49,0.012236853952131766,-0.09957713297468128,-0.058502907534525125,group_A,JAMOL02_fullFed_pig_10_mother_49_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_11_mother_49_day_49,0.2254404880611616,-0.09489955598632993,-0.21757337710645253,group_A,JAMOL02_fullFed_pig_11_mother_49_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_12_mother_49_day_49,-0.05043917027770066,-0.08864879937929687,0.013894352770068452,group_A,JAMOL02_fullFed_pig_12_mother_49_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_13_mother_49_day_49,-0.06345456771692175,-0.03431336238953426,0.0260891376351406,group_A,JAMOL02_fullFed_pig_13_mother_49_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_2_mother_54_day_49,-0.03420548506986326,0.0079133955336146,-0.05423974538226388,group_A,JAMOL02_fullFed_pig_2_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_3_mother_54_day_49,-0.08509572319405738,0.0923203607208755,-0.030275827848911783,group_A,JAMOL02_fullFed_pig_3_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_4_mother_54_day_49,-0.027868232611890958,-0.07859687339079208,-0.016033655621904994,group_A,JAMOL02_fullFed_pig_4_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_5_mother_54_day_49,-0.040972319374660345,-0.07966951103046754,0.0009906045038672194,group_A,JAMOL02_fullFed_pig_5_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_6_mother_54_day_49,-0.04997689549032429,-0.05614261818881732,-0.004839618678568745,group_A,JAMOL02_fullFed_pig_6_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_7_mother_54_day_49,-0.0024085160779007595,-0.013557495245078837,0.004360926338708081,group_A,JAMOL02_fullFed_pig_7_mother_54_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_8_mother_49_day_49,-0.045822179374859134,-0.09270982977857108,-0.005104244247839037,group_A,JAMOL02_fullFed_pig_8_mother_49_day_49,red,red,o
group_A__JAMOL02_fullFed_pig_9_mother_49_day_49,-0.07634207493206299,0.015531499876358112,0.007453346501939732,group_A,JAMOL02_fullFed_pig_9_mother_49_day_49,red,red,o
group_B__JAMOL02_dietRestricted_pig_14_mother_51_day_49,-0.08805463395571785,0.0006961529377020843,0.02443061525491746,group_B,JAMOL02_dietRestricted_pig_14_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_15_mother_51_day_49,0.02561513404011315,-0.034373294648534884,0.04242207228571505,group_B,JAMOL02_dietRestricted_pig_15_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_16_mother_51_day_49,-0.06731521991721526,-0.06670890534376205,0.04246546009437115,group_B,JAMOL02_dietRestricted_pig_16_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_17_mother_51_day_49,0.130096128631653,0.0338088676795389,0.05063111533951916,group_B,JAMOL02_dietRestricted_pig_17_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_18_mother_51_day_49,0.02034807043838732,0.011526091998703455,0.04867707242131235,group_B,JAMOL02_dietRestricted_pig_18_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_19_mother_51_day_49,0.13964262498626145,0.0658132265463328,0.04894264818550227,group_B,JAMOL02_dietRestricted_pig_19_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_20_mother_51_day_49,-0.0052429504893365215,0.04582441557142095,0.01408248967463175,group_B,JAMOL02_dietRestricted_pig_20_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_21_mother_51_day_49,-0.037199366875108136,-0.02897240391666208,0.031545838836903733,group_B,JAMOL02_dietRestricted_pig_21_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_22_mother_51_day_49,-0.08248816422180688,0.0732850403947933,-0.021975630733232124,group_B,JAMOL02_dietRestricted_pig_22_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_23_mother_51_day_49,-0.1084631708612264,0.10862943510687073,-0.11833013737767653,group_B,JAMOL02_dietRestricted_pig_23_mother_51_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_25_mother_56_day_49,0.015632537009540978,0.17223034977226126,-0.04994017464783334,group_B,JAMOL02_dietRestricted_pig_25_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_26_mother_56_day_49,-0.0453473595105805,-0.04082154057327933,0.019061937474573562,group_B,JAMOL02_dietRestricted_pig_26_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_27_mother_56_day_49,0.12715893151442825,0.02970876169179662,0.06249108791922985,group_B,JAMOL02_dietRestricted_pig_27_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_28_mother_56_day_49,0.16750263093080786,0.08073111404947075,0.044925144263217885,group_B,JAMOL02_dietRestricted_pig_28_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_30_mother_56_day_49,-0.006207678211427772,-0.01743758169035905,0.04303178589488065,group_B,JAMOL02_dietRestricted_pig_30_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_31_mother_56_day_49,0.08899013622307045,-0.024840101226059317,0.04972445517088682,group_B,JAMOL02_dietRestricted_pig_31_mother_56_day_49,blue,blue,o
group_B__JAMOL02_dietRestricted_pig_32_mother_56_day_49,0.04466718935649968,0.013748309934890223,0.045113748395504284,group_B,JAMOL02_dietRestricted_pig_32_mother_56_day_49,blue,blue,o
